ID,Tweet,Location
1574198444784230400-,Io adesso voglio andare a dormire e non svegliarmi mai più ,None
1574168287923027974-,L'unica cosa che posso fare è mettermi a dormire e sperare di non svegliarmi mai più,None
1574157123248070657-,Io che vado a dormire sperando di non svegliarmi mai più perché c'è solo da piangere,None
1574150248292818944-,dormire e non svegliarmi mai più who? ,None
1574147724135477248-,vabbè vado a dormire sperando di non svegliarmi mai più se la situazione elezioni è questa,None
1573970706186084352-,preferirei andare a dormire oggi dopo il mio voto e non svegliarmi mai più,None
1573641171221479426-,"mi viene da piangere , vorrei andare a dormire e non svegliarmi mai più",None
1573456695505846282-,"""dovessi scegliere un superpotere sarebbe quello di svegliarmi presto"" - decisamente 🙃
perché la sera non voglio mai andare a dormire e poi la mattina non mi svegliano nemmeno le campane? volevo nascere mattiniera...🫠",None
1572517133871120384-,mi sono davvero svegliata in un mondo in cui quel CRIMINALE di cui non farò nemmeno il nome è passato dal nero al BIONDO PLATINO ciao amicx io torno a dormire spero di non svegliarmi mai più,None
1572335838490411008-,"Vorrei andare a dormire e svegliarmi con la tesi finita, ma non accadrà mai ",None
1571595428646490113-,voglio dormire e non svegliarmi mai più,None
1571299750598660096-,perché vai a dormire così tardi? fa male PRONTOOOOOO NON VOGLIO SVEGLIARMI MAI PIÙ COSA NON È COMPRESIBILE??????? NON SI CAPISCE?????,None
1581768082452021250-,mi manca essere un bambino e avere mio padre presente e mio fratello al mio fianco mio padre è morto mio fratello lavora molto quindi sono ferito e non riesco a trattenermi Non voglio preoccupare nessuno per questo parlo in italiano,None
1581597242149900288-,sto scrivendo una prongsfootmoonwater in cui regulus dopo essere uscito dalla grotta è finito in coma e quando si sveglierà non si ricorderà di remus  non voglio altre tragedie quindi voldemort è morto grazie a reg e sirius e james vivono insieme in campagna,None
1580337712892358656-," amplio perché non voglio essere totalmente negativo Se lazienda è ancora in piedi e non chiude alla prima lettera di avvocato consiglio di andare per avvocati

Se lazienda un morto che camminano che vanno in bancarotta appena un fornitore chiede un arretrato cè poco da fare",None
1580152400857268225-, Voglio essere sincero con te hai due tette che fanno risvegliare un morto,None
1578709444237484033-,"  Se mi fanno concime per conifere piuttosto che urna cineraria per cimitero io ci sto
Del resto sono morto sai che mi frega che fate del mio corpo io non sono li
Però romanticamente voglio essere bosco",None
1576507211974836225-, Infermiera Se mi trovi mezzo morto per strada prosegui per la tua strada e lasciami crepare Non voglio essere toccato dalle tue manacce sozze,None
1575457351938744323-, Credimi non voglio essere cattiva ma pensavo fosse morto ,None
1575100656498532352-," 





ho visto troppi parallelismi tra lo scontro di deku e quello di bakugo spero questo non sia un cattivo presagio PERCHÉ NON VOGLIO ARRIVARE A DIRE CHE DEKU SIA DIVENTATO IL PIÙ GRANDE DEGLI EROI DOPO ESSERE MORTO",None
1574710834584223745-,I sogni di Giuliano morto a 18 anni per uno stage Voglio essere felice ,None
1574496184944578560-,VI PREGOOOO FATE SI CHE NONNSIA MORTOVI PREGONON PUÒ ESSERE ESPLOSO CON LAEREO NO IO VOGLIO IL MIO LIETO FINEEE,None
1574463287156248589-, Vi voglio bene  grandi tesori Io ho accompagnato nel suo ultimo viaggio la mia cagnolina anni fa il mio cuore era morto le ho dato un bacino e l ho vista addormentarsiI nostri figli pelosi devono essere amati  curati e seguiti fino alla fine perché loro vivono per noi,None
1573703511396737028-, Vabbè daiUna volta morto sei morto e basta Non senti e non vedi nulla Anche io voglio essere cremata però messa in unurna celeste il mio colore preferito e tenuta presso i miei cari,None
1573622643445620736-,  Scusa ma se io quando morirò voglio che il mio corpo sia usato per concimare la terra per fare nascere un fiore o un albero ma cosa Ve ne frega a voi Preferite essere chiusi in un cassa da morto a decomporvi Bene siete liberi di farlo ,None
